sgRNA	Count
AAK1_104_0	0
AAK1_105_0	597
AAK1_106_0	145
AAK1_107_0	0
AAK1_108_0	0
AAK1_109_0	142
AAK1_111_182532	0
AAK1_111_60844	60
AAK1_112_60844	68
AAK1_113_60844	9
AAK1_114_91266	7
AAK1_115_30422	80
AAK1_121_91266	64
AAK1_123_30422	50
AAK1_126_91266	0
AAK1_128_60844	33
AATK_0_0	129
AATK_0_20904	146
AATK_0_41808	0
AATK_100_0	824
AATK_101_0	193
AATK_102_0	128
AATK_103_0	11
AATK_104_0	173
AATK_105_0	180
AATK_106_0	232
AATK_107_0	4
AATK_107_34840	11
AATK_108_0	846
AATK_109_0	409
AATK_110_0	0
AATK_111_0	31
ABI1_0_65424	276
ABI1_100_0	424
ABI1_101_0	590
ABI1_104_49068	217
ABI1_105_16356	60
ABI1_120_98136	111
ABI1_126_16356	11
ABI1_129_0	25
ABI1_12_0	38
ABI1_132_0	429
ABI1_132_16356	95
ABI1_132_65424	65
ABI1_133_0	3
ABI1_134_0	18
ABI1_134_49068	15
ABL1_0_148908	102
ABL1_108_148908	194
ABL1_109_148908	618
ABL1_112_74454	1
ABL1_114_49636	46
ABL1_117_148908	28
ABL1_118_148908	0
ABL1_119_148908	126
ABL1_120_148908	83
ABL1_121_124090	255
ABL1_121_148908	10
ABL1_137_99272	23
ABL1_138_124090	14
ABL1_145_0	10
ABL1_150_0	0
ABL2_0_0	24
ABL2_100_111732	1624
ABL2_101_111732	43
ABL2_107_0	0
ABL2_107_37244	9
ABL2_107_93110	87
ABL2_108_0	0
ABL2_108_37244	152
ABL2_109_0	21
ABL2_111_37244	13
ABL2_120_0	130
ABL2_123_0	44
ABL2_123_18622	94
ABL2_124_18622	369
ABL2_126_18622	162
ABL2_127_18622	57
ACAD10_0_0	10
ACAD10_0_20300	35
ACAD10_100_0	10
ACAD10_100_20300	4
ACAD10_100_40600	24
ACAD10_101_0	3
ACAD10_101_40600	128
ACAD10_102_0	33
ACAD10_102_40600	7
ACAD10_103_0	0
ACAD10_103_40600	6
ACAD10_104_20300	413
ACAD10_105_0	87
ACAD10_106_0	0
ACAD10_106_20300	109
ACAD10_107_0	45
ACVR1B_0_32435	3
ACVR1B_0_6487	96
ACVR1B_100_0	184
ACVR1B_101_0	21
ACVR1B_101_25948	18
ACVR1B_106_0	3
ACVR1B_107_38922	2
ACVR1B_109_12974	98
ACVR1B_109_38922	0
ACVR1B_10_38922	23
ACVR1B_110_32435	62
ACVR1B_110_38922	142
ACVR1B_111_32435	0
ACVR1B_111_38922	214
ACVR1B_112_32435	29
ACVR1C_0_13804	139
ACVR1C_0_41412	0
ACVR1C_102_13804	51
ACVR1C_103_13804	32
ACVR1C_104_0	7
ACVR1C_104_13804	51
ACVR1C_105_0	37
ACVR1C_106_82824	94
ACVR1C_114_41412	135
ACVR1C_115_0	9
ACVR1C_115_41412	4
ACVR1C_116_41412	154
ACVR1C_122_0	118
ACVR1C_123_0	66
ACVR1C_124_0	243
ACVR1C_125_0	11
ACVR1_100_19918	200
ACVR1_100_59754	54
ACVR1_101_19918	165
ACVR1_102_0	72
ACVR1_102_19918	25
ACVR1_103_0	73
ACVR1_104_0	0
ACVR1_104_99590	41
ACVR1_105_59754	6
ACVR1_106_39836	32
ACVR1_107_39836	168
ACVR1_108_39836	47
ACVR1_108_99590	3
ACVR1_109_39836	40
ACVR1_10_99590	70
ACVR1_110_39836	294
ACVR2A_0_73974	70
ACVR2A_100_73974	111
ACVR2A_101_73974	0
ACVR2A_102_73974	17
ACVR2A_104_61645	55
ACVR2A_105_0	0
ACVR2A_108_24658	64
ACVR2A_10_73974	0
ACVR2A_111_24658	56
ACVR2A_119_36987	94
ACVR2A_11_24658	94
ACVR2A_122_0	46
ACVR2A_123_61645	14
ACVR2A_124_0	383
ACVR2A_128_0	7
ACVR2A_128_12329	14
ACVR2B_103_16916	60
ACVR2B_105_21145	0
ACVR2B_105_25374	41
ACVR2B_106_21145	1
ACVR2B_107_21145	223
ACVR2B_108_21145	18
ACVR2B_108_25374	4
ACVR2B_110_21145	154
ACVR2B_112_25374	61
ACVR2B_113_25374	141
ACVR2B_115_25374	46
ACVR2B_116_25374	374
ACVR2B_118_25374	44
ACVR2B_119_25374	143
ACVR2B_11_21145	40
ACVR2B_120_21145	76
ACVRL1_100_14100	30
ACVRL1_101_14100	39
ACVRL1_101_4700	38
ACVRL1_102_14100	53
ACVRL1_102_4700	8
ACVRL1_103_0	51
ACVRL1_103_14100	76
ACVRL1_103_4700	263
ACVRL1_103_7050	223
ACVRL1_104_0	19
ACVRL1_104_14100	239
ACVRL1_104_4700	0
ACVRL1_104_7050	7
ACVRL1_105_0	239
ACVRL1_105_14100	112
ACVRL1_105_4700	282
ADAM9_0_0	77
ADAM9_106_92802	64
ADAM9_107_61868	35
ADAM9_107_92802	45
ADAM9_108_46401	0
ADAM9_108_92802	403
ADAM9_109_15467	0
ADAM9_109_46401	134
ADAM9_10_15467	20
ADAM9_110_15467	0
ADAM9_111_15467	93
ADAM9_111_46401	23
ADAM9_114_61868	0
ADAM9_114_77335	1
ADAM9_118_92802	77
ADAM9_119_92802	55
ADCK1_0_115674	44
ADCK1_104_115674	36
ADCK1_118_115674	43
ADCK1_119_115674	98
ADCK1_121_57837	1005
ADCK1_122_0	0
ADCK1_123_0	21
ADCK1_124_0	92
ADCK1_125_0	464
ADCK1_139_115674	21
ADCK1_141_115674	170
ADCK1_142_115674	99
ADCK1_143_115674	214
ADCK1_144_115674	457
ADCK2_0_0	428
ADCK2_100_9903	230
ADCK2_104_16505	81
ADCK2_106_0	1
ADCK2_107_0	16
ADCK2_107_3301	460
ADCK2_107_9903	135
ADCK2_108_0	5
ADCK2_108_3301	40
ADCK2_109_3301	0
ADCK2_10_6602	45
ADCK2_110_0	143
ADCK2_111_0	20
ADCK2_111_13204	139
ADCK2_112_0	0
ADCK4_0_22866	0
ADCK4_0_7622	0
ADCK4_100_7622	1
ADCK4_102_11433	0
ADCK4_102_22866	1
ADCK4_104_22866	246
ADCK4_107_11433	34
ADCK4_108_22866	0
ADCK4_10_11433	53
ADCK4_10_22866	11
ADCK4_10_7622	0
ADCK4_110_11433	265
ADCK4_110_22866	19
ADCK4_111_11433	24
ADCK4_111_3811	391
ADCK4_112_3811	14
ADCK5_10_5754	0
ADCK5_14_8631	0
ADK_1003_0	1
ADK_1033_0	267
ADK_1048_398650	40
ADK_1048_478380	22
ADK_1050_478380	1212
ADK_1107_79730	86
ADK_113_478380	33
ADK_1312_478380	36
ADK_1313_478380	40
ADK_1314_478380	8
ADK_135_79730	0
ADK_13_0	113
ADK_1407_0	1
ADK_1417_0	0
ADRA1A_0_0	94
ADRA1A_105_51051	138
ADRA1A_108_17017	166
ADRA1A_109_0	18
ADRA1A_110_0	0
ADRA1A_114_102102	1
ADRA1A_115_102102	38
ADRA1A_116_102102	97
