sgRNA	Count
AAK1_104_0	0
AAK1_105_0	309
AAK1_106_0	250
AAK1_107_0	11
AAK1_108_0	0
AAK1_109_0	93
AAK1_111_182532	0
AAK1_111_60844	27
AAK1_112_60844	113
AAK1_113_60844	37
AAK1_114_91266	45
AAK1_115_30422	183
AAK1_121_91266	74
AAK1_123_30422	57
AAK1_126_91266	7
AAK1_128_60844	72
AATK_0_0	123
AATK_0_20904	210
AATK_0_41808	120
AATK_100_0	293
AATK_101_0	317
AATK_102_0	115
AATK_103_0	55
AATK_104_0	135
AATK_105_0	135
AATK_106_0	333
AATK_107_0	26
AATK_107_34840	20
AATK_108_0	530
AATK_109_0	192
AATK_110_0	84
AATK_111_0	74
ABI1_0_65424	60
ABI1_100_0	357
ABI1_101_0	604
ABI1_104_49068	216
ABI1_105_16356	105
ABI1_120_98136	141
ABI1_126_16356	24
ABI1_129_0	39
ABI1_12_0	115
ABI1_132_0	129
ABI1_132_16356	115
ABI1_132_65424	67
ABI1_133_0	33
ABI1_134_0	59
ABI1_134_49068	67
ABL1_0_148908	152
ABL1_108_148908	179
ABL1_109_148908	83
ABL1_112_74454	42
ABL1_114_49636	157
ABL1_117_148908	45
ABL1_118_148908	16
ABL1_119_148908	169
ABL1_120_148908	52
ABL1_121_124090	270
ABL1_121_148908	50
ABL1_137_99272	80
ABL1_138_124090	74
ABL1_145_0	32
ABL1_150_0	2
ABL2_0_0	185
ABL2_100_111732	268
ABL2_101_111732	282
ABL2_107_0	0
ABL2_107_37244	11
ABL2_107_93110	247
ABL2_108_0	0
ABL2_108_37244	44
ABL2_109_0	36
ABL2_111_37244	80
ABL2_120_0	43
ABL2_123_0	12
ABL2_123_18622	122
ABL2_124_18622	166
ABL2_126_18622	269
ABL2_127_18622	73
ACAD10_0_0	29
ACAD10_0_20300	40
ACAD10_100_0	49
ACAD10_100_20300	5
ACAD10_100_40600	109
ACAD10_101_0	7
ACAD10_101_40600	215
ACAD10_102_0	34
ACAD10_102_40600	25
ACAD10_103_0	13
ACAD10_103_40600	66
ACAD10_104_20300	687
ACAD10_105_0	72
ACAD10_106_0	21
ACAD10_106_20300	125
ACAD10_107_0	33
ACVR1B_0_32435	47
ACVR1B_0_6487	211
ACVR1B_100_0	363
ACVR1B_101_0	34
ACVR1B_101_25948	71
ACVR1B_106_0	76
ACVR1B_107_38922	11
ACVR1B_109_12974	106
ACVR1B_109_38922	0
ACVR1B_10_38922	55
ACVR1B_110_32435	120
ACVR1B_110_38922	182
ACVR1B_111_32435	0
ACVR1B_111_38922	246
ACVR1B_112_32435	29
ACVR1C_0_13804	191
ACVR1C_0_41412	0
ACVR1C_102_13804	125
ACVR1C_103_13804	7
ACVR1C_104_0	26
ACVR1C_104_13804	116
ACVR1C_105_0	71
ACVR1C_106_82824	123
ACVR1C_114_41412	165
ACVR1C_115_0	36
ACVR1C_115_41412	37
ACVR1C_116_41412	225
ACVR1C_122_0	304
ACVR1C_123_0	75
ACVR1C_124_0	77
ACVR1C_125_0	38
ACVR1_100_19918	59
ACVR1_100_59754	103
ACVR1_101_19918	430
ACVR1_102_0	84
ACVR1_102_19918	36
ACVR1_103_0	96
ACVR1_104_0	2
ACVR1_104_99590	41
ACVR1_105_59754	18
ACVR1_106_39836	74
ACVR1_107_39836	87
ACVR1_108_39836	243
ACVR1_108_99590	130
ACVR1_109_39836	255
ACVR1_10_99590	83
ACVR1_110_39836	288
ACVR2A_0_73974	109
ACVR2A_100_73974	42
ACVR2A_101_73974	0
ACVR2A_102_73974	26
ACVR2A_104_61645	61
ACVR2A_105_0	0
ACVR2A_108_24658	52
ACVR2A_10_73974	1
ACVR2A_111_24658	77
ACVR2A_119_36987	93
ACVR2A_11_24658	38
ACVR2A_122_0	17
ACVR2A_123_61645	106
ACVR2A_124_0	319
ACVR2A_128_0	41
ACVR2A_128_12329	102
ACVR2B_103_16916	61
ACVR2B_105_21145	4
ACVR2B_105_25374	59
ACVR2B_106_21145	37
ACVR2B_107_21145	243
ACVR2B_108_21145	53
ACVR2B_108_25374	2
ACVR2B_110_21145	161
ACVR2B_112_25374	217
ACVR2B_113_25374	158
ACVR2B_115_25374	86
ACVR2B_116_25374	113
ACVR2B_118_25374	95
ACVR2B_119_25374	435
ACVR2B_11_21145	69
ACVR2B_120_21145	398
ACVRL1_100_14100	72
ACVRL1_101_14100	122
ACVRL1_101_4700	101
ACVRL1_102_14100	51
ACVRL1_102_4700	190
ACVRL1_103_0	41
ACVRL1_103_14100	265
ACVRL1_103_4700	371
ACVRL1_103_7050	181
ACVRL1_104_0	107
ACVRL1_104_14100	665
ACVRL1_104_4700	0
ACVRL1_104_7050	56
ACVRL1_105_0	286
ACVRL1_105_14100	170
ACVRL1_105_4700	347
ADAM9_0_0	147
ADAM9_106_92802	160
ADAM9_107_61868	114
ADAM9_107_92802	67
ADAM9_108_46401	0
ADAM9_108_92802	197
ADAM9_109_15467	0
ADAM9_109_46401	196
ADAM9_10_15467	63
ADAM9_110_15467	0
ADAM9_111_15467	139
ADAM9_111_46401	37
ADAM9_114_61868	0
ADAM9_114_77335	21
ADAM9_118_92802	91
ADAM9_119_92802	39
ADCK1_0_115674	47
ADCK1_104_115674	46
ADCK1_118_115674	133
ADCK1_119_115674	286
ADCK1_121_57837	223
ADCK1_122_0	32
ADCK1_123_0	164
ADCK1_124_0	57
ADCK1_125_0	206
ADCK1_139_115674	93
ADCK1_141_115674	185
ADCK1_142_115674	159
ADCK1_143_115674	246
ADCK1_144_115674	253
ADCK2_0_0	315
ADCK2_100_9903	287
ADCK2_104_16505	265
ADCK2_106_0	47
ADCK2_107_0	26
ADCK2_107_3301	262
ADCK2_107_9903	263
ADCK2_108_0	44
ADCK2_108_3301	227
ADCK2_109_3301	43
ADCK2_10_6602	192
ADCK2_110_0	66
ADCK2_111_0	114
ADCK2_111_13204	277
ADCK2_112_0	10
ADCK4_0_22866	47
ADCK4_0_7622	0
ADCK4_100_7622	8
ADCK4_102_11433	22
ADCK4_102_22866	46
ADCK4_104_22866	207
ADCK4_107_11433	121
ADCK4_108_22866	12
ADCK4_10_11433	38
ADCK4_10_22866	30
ADCK4_10_7622	9
ADCK4_110_11433	121
ADCK4_110_22866	63
ADCK4_111_11433	50
ADCK4_111_3811	362
ADCK4_112_3811	82
ADCK5_10_5754	4
ADCK5_14_8631	4
ADK_1003_0	5
ADK_1033_0	447
ADK_1048_398650	59
ADK_1048_478380	139
ADK_1050_478380	165
ADK_1107_79730	263
ADK_113_478380	74
ADK_1312_478380	163
ADK_1313_478380	30
ADK_1314_478380	2
ADK_135_79730	1
ADK_13_0	228
ADK_1407_0	6
ADK_1417_0	0
ADRA1A_0_0	32
ADRA1A_105_51051	129
ADRA1A_108_17017	124
ADRA1A_109_0	79
ADRA1A_110_0	0
ADRA1A_114_102102	27
ADRA1A_115_102102	45
ADRA1A_116_102102	36
ADRA1A_116_17017	91
ADRA1A_117_102102	75
ADRA1A_117_17017	64
ADRA1A_118_17017	110
ADRA1A_119_17017	18
ADRA1A_120_17017	32
ADRA1A_121_17017	0
ADRA1A_122_17017	105
ADRA1B_100_39825	87
ADRA1B_102_0	318
ADRA1B_107_15930	104
ADRA1B_110_0	72
ADRA1B_112_0	40
ADRA1B_113_0	172
ADRA1B_114_0	182
ADRA1B_115_39825	155
ADRA1B_116_23895	74
ADRA1B_118_47790	125
ADRA1B_119_47790	154
ADRA1B_123_15930	126
ADRA1B_126_39825	29
ADRA1B_127_39825	35
ADRB2_0_0	71
ADRB2_0_1020	0
ADRB2_0_1700	34
ADRB2_0_340	96
ADRB2_0_680	76
ADRB2_10_0	235
ADRB2_10_680	170
ADRB2_11_0	22
ADRB2_11_680	20
ADRB2_12_0	489
ADRB2_12_680	49
ADRB2_13_680	11
ADRB2_15_680	231
ADRB2_16_680	248
ADRBK1_0_14390	304
ADRBK1_0_8634	126
ADRBK1_100_14390	118
ADRBK1_100_17268	103
ADRBK1_101_14390	220
ADRBK1_101_17268	322
ADRBK1_101_2878	233
ADRBK1_102_14390	58
ADRBK1_102_17268	443
ADRBK1_103_14390	25
ADRBK1_103_17268	146
ADRBK1_104_14390	59
ADRBK1_104_17268	113
ADRBK1_105_14390	366
ADRBK1_105_17268	47
ADRBK1_106_14390	41
ADRBK2_101_140952	9
ADRBK2_102_140952	187
ADRBK2_103_140952	55
ADRBK2_106_70476	71
ADRBK2_113_140952	45
ADRBK2_114_117460	88
ADRBK2_114_140952	40
ADRBK2_116_46984	0
ADRBK2_120_0	126
ADRBK2_120_46984	0
ADRBK2_123_93968	1
ADRBK2_12_117460	114
ADRBK2_130_140952	0
ADRBK2_133_140952	117
ADRBK2_138_140952	306
ADRBK2_13_93968	7
AK1_0_0	291
AK1_10_0	131
AK1_12_0	63
AK1_14_0	66
AK1_15_0	31
AK1_17_0	24
AK1_1_0	12
AK1_20_0	211
AK1_21_0	126
AK1_2_0	157
AK1_37_0	0
AK1_38_0	92
AK1_39_0	64
AK1_3_0	14
AK1_40_0	80
AK1_41_0	120
AK2_100_31293	296
AK2_101_31293	29
AK2_102_31293	232
AK2_106_62586	6
AK2_10_62586	74
AK2_111_20862	57
AK2_116_41724	101
AK2_117_62586	434
AK2_11_52155	235
AK2_11_62586	46
AK2_131_41724	114
AK2_136_52155	0
AK2_139_62586	25
AK2_147_62586	23
AK2_148_62586	64
AK2_156_20862	8
AK3_0_22060	52
AK3_102_4412	354
AK3_104_4412	1
AK3_10_0	52
AK3_10_4412	8
AK3_11_4412	0
AK3_12_0	64
AK3_136_26472	15
AK3_13_0	521
AK3_14_0	38
AK3_17_8824	0
AK3_19_26472	0
AK3_19_4412	95
AK3_1_26472	0
AK3_22_26472	299
AK3_24_0	60
AK4_0_0	204
AK4_0_72510	117
AK4_100_12085	174
AK4_102_72510	0
AK4_103_72510	329
AK4_104_72510	75
AK4_105_72510	58
AK4_106_72510	39
AK4_107_72510	52
AK4_108_12085	192
AK4_108_36255	2
AK4_108_72510	100
AK4_109_72510	97
AK4_10_72510	1
AK4_110_0	148
AK4_110_72510	81
AK5_0_0	81
AK5_111_238224	229
AK5_112_238224	251
AK5_113_238224	683
AK5_11_119112	144
AK5_122_238224	23
AK5_123_238224	133
AK5_126_238224	66
AK5_14_0	4
AK5_168_238224	0
AK5_175_0	23
AK5_175_238224	79
AK5_176_0	27
AK7_104_41706	46
AK7_105_41706	5
AK7_106_41706	85
AK7_107_55608	87
AK7_119_0	34
AK7_120_0	96
AK7_121_0	205
AK7_121_83412	11
AK7_122_0	177
AK7_122_13902	2
AK7_123_0	259
AK7_123_13902	20
AK7_123_83412	0
AK7_124_83412	291
AK7_125_83412	55
AK8_0_131316	94
AK8_10_87544	46
AK8_113_65658	92
AK8_115_131316	434
AK8_116_0	0
AK8_127_0	1
AK8_157_65658	201
AK8_167_109430	144
AK8_168_109430	48
AK8_173_109430	39
AK8_174_65658	66
AK8_177_131316	213
AK8_178_131316	184
AK8_179_131316	121
AK8_191_65658	72
AK8_192_0	201
AKAP11_0_29204	39
AKAP11_0_7301	3
AKAP11_104_0	90
AKAP11_104_29204	16
AKAP11_108_29204	72
AKAP11_114_0	242
AKAP11_115_0	61
AKAP11_11_29204	131
AKAP11_13_0	14
AKAP11_15_43806	24
AKAP11_17_14602	5
AKAP11_17_36505	77
AKAP11_18_36505	143
AKAP11_18_43806	125
AKAP11_19_36505	11
AKAP11_19_43806	15
AKAP13_1051_316104	87
AKAP13_113_316104	57
AKAP13_130_316104	0
AKAP13_131_210736	226
AKAP13_133_316104	19
AKAP13_144_316104	139
AKAP13_145_316104	23
AKAP13_146_316104	20
AKAP13_147_316104	81
AKAP13_148_316104	0
AKAP13_14_210736	10
AKAP13_165_316104	0
AKAP13_167_316104	91
AKAP13_168_316104	0
AKAP13_174_316104	76
AKAP1_0_15537	187
AKAP1_0_20716	78
AKAP1_100_0	4
AKAP1_101_0	85
AKAP1_101_20716	82
AKAP1_102_0	13
AKAP1_102_20716	78
AKAP1_103_0	161
AKAP1_103_20716	17
AKAP1_103_31074	0
AKAP1_104_0	6
AKAP1_104_20716	276
AKAP1_104_31074	41
AKAP1_105_0	5
AKAP1_105_20716	31
AKAP1_106_0	153
AKAP6_1005_143456	19
AKAP6_1006_143456	13
AKAP6_1007_143456	134
AKAP6_1011_143456	53
AKAP6_101_215184	247
AKAP6_103_215184	0
AKAP6_105_215184	19
