"DesignID"	"Readcount"
"A1BG_0"	36
"A1BG_1"	84
"A1CF_0"	165
"A1CF_1"	155
"A1CF_2"	253
"A1CF_3"	425
"A1CF_4"	94
"A2LD1_0"	229
"A2LD1_1"	56
"A2M_0"	186
"A2M_1"	242
"A2ML1_0"	37
"A2ML1_1"	432
"A2ML1_2"	495
"A2ML1_3"	126
"A4GALT_0"	496
"A4GALT_1"	173
"A4GNT_0"	205
"A4GNT_1"	58
"A4GNT_2"	94
"A4GNT_3"	85
"A4GNT_4"	44
"A4GNT_5"	141
"AAAS_0"	342
"AAAS_1"	378
"AACS_0"	1
"AACS_1"	55
"AACS_2"	48
"AADAC_0"	26
"AADAC_1"	121
"AADACL2_0"	21
"AADACL2_1"	185
"AADACL2_2"	54
"AADACL2_3"	89
"AADACL3_0"	63
"AADACL3_1"	98
"AADACL3_2"	249
"AADACL3_3"	79
"AADACL4_0"	106
"AADACL4_1"	136
"AADACL4_2"	38
"AADACL4_3"	55
"AADACL4_4"	187
"AADACL4_5"	61
"AADAT_0"	122
"AADAT_1"	285
"AADAT_2"	134
"AADAT_3"	303
"AAED1_0"	77
"AAED1_1"	1
"AAGAB_0"	114
"AAGAB_1"	24
"AAK1_0"	93
"AAK1_1"	56
"AAK1_2"	9
"AAK1_3"	155
"AAK1_4"	16
"AAMP_0"	464
"AAMP_1"	5
"AANAT_0"	0
"AANAT_1"	179
"AANAT_2"	145
"AANAT_3"	135
"AANAT_4"	330
"AANAT_5"	46
"AARD_0"	60
"AARD_1"	187
"AARD_2"	184
"AARS_0"	4
"AARS_1"	124
"AARS_2"	418
"AARS_3"	24
"AARS2_0"	31
"AARS2_1"	38
"AARS2_2"	94
"AARS2_3"	39
"AARSD1_0"	712
"AARSD1_1"	66
"AARSD1_2"	57
"AARSD1_3"	374
"AARSD1_4"	398
"AARSD1_5"	100
"AARSD1_6"	43
"AARSD1_7"	22
"AARSD1_8"	28
"AASDH_0"	95
"AASDH_1"	50
"AASDH_2"	206
"AASDHPPT_0"	10
"AASDHPPT_1"	99
"AASDHPPT_2"	8
"AASDHPPT_3"	22
"AASS_0"	17
"AASS_1"	56
"AASS_2"	40
"AATF_0"	31
"AATF_1"	62
"AATF_2"	248
"AATF_3"	12
"AATK_0"	116
"AATK_1"	202
"AATK_2"	226
"ABAT_0"	34
"ABAT_1"	262
"ABAT_2"	5
"ABCA1_0"	9
"ABCA1_1"	268
"ABCA10_0"	37
"ABCA10_1"	21
"ABCA10_2"	69
"ABCA10_3"	71
"ABCA12_0"	19
"ABCA12_1"	38
"ABCA12_2"	47
"ABCA12_3"	57
"ABCA12_4"	186
"ABCA12_5"	194
"ABCA12_6"	291
"ABCA12_7"	112
"ABCA13_0"	29
"ABCA13_1"	124
"ABCA13_2"	85
"ABCA2_0"	33
"ABCA2_1"	40
"ABCA3_0"	227
"ABCA3_1"	91
"ABCA3_2"	1011
"ABCA3_3"	114
"ABCA4_0"	22
"ABCA4_1"	26
"ABCA4_2"	99
"ABCA5_0"	98
"ABCA5_1"	43
"ABCA6_0"	61
"ABCA6_1"	144
"ABCA6_2"	91
"ABCA7_0"	35
"ABCA7_1"	30
"ABCA7_2"	112
"ABCA8_0"	204
"ABCA8_1"	291
"ABCA8_2"	276
"ABCA9_0"	48
"ABCA9_1"	131
"ABCA9_2"	14
"ABCB1_0"	89
"ABCB1_1"	109
"ABCB1_2"	21
"ABCB1_3"	173
"ABCB10_0"	505
"ABCB10_1"	364
"ABCB10_2"	6
"ABCB10_3"	129
"ABCB11_0"	0
"ABCB11_1"	28
"ABCB4_0"	117
"ABCB4_1"	81
"ABCB4_2"	187
"ABCB5_0"	264
"ABCB5_1"	358
"ABCB5_2"	474
"ABCB5_3"	56
"ABCB5_4"	224
"ABCB5_5"	69
"ABCB5_6"	180
"ABCB5_7"	1028
"ABCB5_8"	186
"ABCB6_0"	104
"ABCB6_1"	46
"ABCB6_2"	14
"ABCB6_3"	229
"ABCB6_4"	46
"ABCB6_5"	143
"ABCB7_0"	64
"ABCB7_1"	20
"ABCB7_2"	15
"ABCB8_0"	81
"ABCB8_1"	29
"ABCB8_2"	53
"ABCB8_3"	239
"ABCB9_0"	58
"ABCB9_1"	168
"ABCB9_2"	29820
"ABCB9_3"	1132
"ABCC1_0"	25
"ABCC1_1"	8
"ABCC1_2"	37
"ABCC1_3"	7
"ABCC10_0"	256
"ABCC10_1"	202
"ABCC11_0"	92
"ABCC11_1"	24
"ABCC11_2"	308
"ABCC11_3"	188
"ABCC12_0"	615
"ABCC12_1"	103
"ABCC12_2"	11
"ABCC12_3"	219
"ABCC2_0"	168
"ABCC2_1"	111
"ABCC2_2"	18
"ABCC2_3"	74
"ABCC3_0"	247
"ABCC3_1"	16
"ABCC3_2"	84
"ABCC4_0"	318
"ABCC4_1"	28
"ABCC4_2"	116
"ABCC4_3"	114
"ABCC5_0"	12548
"ABCC5_1"	55
"ABCC5_2"	630
"ABCC5_3"	325
"ABCC6_0"	21
"ABCC6_1"	59
"ABCC8_0"	188
"ABCC8_1"	20
"ABCC8_2"	134
"ABCC9_0"	224
"ABCC9_1"	13
"ABCC9_2"	74
"ABCD1_0"	17
"ABCD1_1"	89
"ABCD1_2"	29
"ABCD2_0"	49
"ABCD2_1"	18
"ABCD2_2"	72
"ABCD2_3"	189
"ABCD3_0"	18
"ABCD3_1"	50
"ABCD3_2"	6
"ABCD3_3"	295
"ABCD3_4"	148
"ABCD4_0"	112
"ABCD4_1"	65
"ABCD4_2"	123
"ABCD4_3"	83
"ABCE1_0"	76
"ABCE1_1"	283
"ABCF1_0"	1373
"ABCF1_1"	14
"ABCF1_2"	6
"ABCF1_3"	27
"ABCF2_0"	101
"ABCF2_1"	184
"ABCF3_0"	71
"ABCF3_1"	30
"ABCF3_2"	137
"ABCG1_0"	725
"ABCG1_1"	410
"ABCG1_2"	451
"ABCG1_3"	481
"ABCG1_4"	130
"ABCG1_5"	118
"ABCG2_0"	96
"ABCG2_1"	127
"ABCG2_2"	228
"ABCG2_3"	67
"ABCG4_0"	69
"ABCG4_1"	377
"ABCG4_2"	8
"ABCG5_0"	213
"ABCG5_1"	79
"ABCG5_2"	18
"ABCG5_3"	29
