gRNA	HL60.final
A1CF_m52595977	883
A1CF_m52596017	1554
A1CF_m52596056	566
A1CF_m52603842	314
A1CF_m52603847	145
A1CF_p52595870	1503
A1CF_p52595881	1775
A1CF_p52596023	783
A1CF_p52601638	1233
A1CF_p52603829	332
AAAS_m53714382	799
AAAS_m53715169	797
AAAS_m53715176	392
AAAS_m53715212	429
AAAS_m53715238	421
AAAS_p53714367	652
AAAS_p53714374	856
AAAS_p53714391	954
AAAS_p53714405	2212
AAAS_p53714441	1093
AAK1_m69870049	693
AAK1_m69870056	2234
AAK1_m69870103	914
AAK1_m69870119	806
AAK1_m69870125	1822
AAK1_m69870131	1411
AAK1_m69870137	512
AAK1_p69870063	364
AAK1_p69870070	1790
AAK1_p69870105	922
AATF_m35306444	1396
AATF_m35306475	1102
AATF_m35306482	743
AATF_m35306509	476
AATF_m35307516	995
AATF_m35307525	514
AATF_p35306410	2494
AATF_p35306466	289
AATF_p35307505	1154
AATF_p35307527	2761
AATK_m79102275	4568
AATK_m79102281	1736
AATK_m79102298	2538
AATK_m79102320	1932
AATK_m79102325	1874
AATK_p79102286	1844
AATK_p79102311	843
AATK_p79104850	507
AATK_p79104858	905
AATK_p79104864	2244
ABCB8_m150725643	1738
ABCB8_m150725669	1510
ABCB8_m150730720	464
ABCB8_p150725600	350
ABCB8_p150725605	1396
ABCB8_p150725612	1110
ABCB8_p150725675	975
ABCB8_p150730680	1012
ABCB8_p150730705	1400
ABCB8_p150730712	999
ABCC1_m16043636	563
ABCC1_m16043645	1280
ABCC1_m16101705	1320
ABCC1_m16101777	1487
ABCC1_m16101788	754
ABCC1_m16101799	779
ABCC1_p16043597	484
ABCC1_p16101667	392
ABCC1_p16101710	323
ABCC1_p16101721	1399
ABCF1_m30539291	305
ABCF1_p30539251	589
ABCF1_p30539272	1503
ABCF1_p30545181	2674
ABCF1_p30545587	1055
ABCF1_p30545605	692
ABCF1_p30545610	2581
ABCF1_p30545638	641
ABCF1_p30545878	1687
ABCF1_p30545888	701
ABHD14B_m52004073	616
ABHD14B_m52004106	823
ABHD14B_m52004113	1469
ABHD14B_m52004122	1559
ABHD14B_p52004005	529
ABHD14B_p52004011	1060
ABHD14B_p52004019	268
ABHD14B_p52004061	598
ABHD14B_p52004076	3286
ABHD14B_p52004124	1254
ABI1_m27149710	1145
ABI1_m27149743	1282
ABI1_m27149751	1142
ABI1_m27149764	322
ABI1_p27112164	1935
ABI1_p27112174	3367
ABI1_p27112180	532
ABI1_p27149695	242
ABI1_p27149701	2839
ABI1_p27149733	395
ABL1_m133729449	2194
ABL1_m133729456	1893
ABL1_m133729467	2105
ABL1_m133729488	1091
ABL1_m133729532	3447
ABL1_m133729594	1802
ABL1_p133729441	785
ABL1_p133729469	1603
ABL1_p133729492	1616
ABL1_p133729502	1071
ABL2_m179100447	2465
ABL2_m179100544	868
ABL2_m179100554	1451
ABL2_m179100597	1458
ABL2_p179095768	1280
ABL2_p179100489	2727
ABL2_p179100503	1579
ABL2_p179100524	1198
ABL2_p179100556	1336
ABL2_p179100578	871
ABLIM2_m8108265	1816
ABLIM2_m8108274	2237
ABLIM2_m8108279	755
ABLIM2_m8108294	2947
ABLIM2_m8108316	245
ABLIM2_m8160405	2217
ABLIM2_p8108286	1768
ABLIM2_p8108299	2576
ABLIM2_p8108320	155
ABLIM2_p8108331	2079
ABT1_m26597238	495
ABT1_m26597359	940
ABT1_m26597388	1327
ABT1_p26597221	1689
ABT1_p26597240	294
ABT1_p26597266	520
ABT1_p26597293	534
ABT1_p26597300	669
ABT1_p26597313	378
ABT1_p26597361	492
ABTB1_m127395233	765
ABTB1_m127395403	765
ABTB1_m127395808	1408
ABTB1_m127395813	1368
ABTB1_m127395855	1765
ABTB1_m127395860	1404
ABTB1_p127395220	1291
ABTB1_p127395242	1353
ABTB1_p127395252	652
ABTB1_p127395834	656
ACAD11_m132378487	1310
ACAD11_m132378519	719
ACAD11_m132378564	1657
ACAD11_m132378578	789
ACAD11_p132378460	1294
ACAD11_p132378489	1345
ACAD11_p132378501	1432
ACAD11_p132378525	1139
ACAD11_p132378547	398
ACAD11_p132378566	713
ACAD9_m128598565	4007
ACAD9_m128598607	326
ACAD9_m128598614	2733
ACAD9_m128598631	446
ACAD9_m128598636	489
ACAD9_p128598519	921
ACAD9_p128598525	430
ACAD9_p128598545	1072
ACAD9_p128598551	1776
ACAD9_p128598592	791
ACAT2_m160183168	568
ACAT2_m160183956	2289
ACAT2_m160183968	2875
ACAT2_p160183107	1743
ACAT2_p160183121	3564
ACAT2_p160183133	1046
ACAT2_p160183141	973
ACAT2_p160183152	3365
ACAT2_p160183940	41
ACAT2_p160183972	700
ACBD6_m180471277	1321
ACBD6_m180471338	692
ACBD6_m180471378	1241
ACBD6_p180471251	896
ACBD6_p180471256	877
ACBD6_p180471263	441
ACBD6_p180471279	1081
ACBD6_p180471286	1482
ACBD6_p180471344	2207
ACBD6_p180471350	1196
ACD_m67694254	2606
ACD_m67694260	2093
ACD_m67694316	648
ACD_m67694376	1718
ACD_p67694194	1841
ACD_p67694285	874
ACD_p67694333	249
ACD_p67694350	469
ACD_p67694355	1735
ACD_p67694362	2113
ACHE_m100491721	1307
ACHE_m100491729	1364
ACHE_m100491735	2107
ACHE_m100491767	1539
ACHE_m100491773	257
