gRNA	HL60.initial
A1CF_m52595977	213
A1CF_m52596017	294
A1CF_m52596056	421
A1CF_m52603842	274
A1CF_m52603847	0
A1CF_p52595870	623
A1CF_p52595881	486
A1CF_p52596023	195
A1CF_p52601638	744
A1CF_p52603829	76
AAAS_m53714382	704
AAAS_m53715169	651
AAAS_m53715176	545
AAAS_m53715212	254
AAAS_m53715238	32
AAAS_p53714367	323
AAAS_p53714374	293
AAAS_p53714391	283
AAAS_p53714405	1119
AAAS_p53714441	273
AAK1_m69870049	364
AAK1_m69870056	635
AAK1_m69870103	485
AAK1_m69870119	405
AAK1_m69870125	274
AAK1_m69870131	754
AAK1_m69870137	905
AAK1_p69870063	330
AAK1_p69870070	991
AAK1_p69870105	190
AATF_m35306444	449
AATF_m35306475	493
AATF_m35306482	569
AATF_m35306509	250
AATF_m35307516	353
AATF_m35307525	276
AATF_p35306410	1426
AATF_p35306466	189
AATF_p35307505	677
AATF_p35307527	1487
AATK_m79102275	621
AATK_m79102281	465
AATK_m79102298	726
AATK_m79102320	1003
AATK_m79102325	633
AATK_p79102286	1284
AATK_p79102311	73
AATK_p79104850	298
AATK_p79104858	284
AATK_p79104864	597
ABCB8_m150725643	407
ABCB8_m150725669	821
ABCB8_m150730720	100
ABCB8_p150725600	298
ABCB8_p150725605	102
ABCB8_p150725612	251
ABCB8_p150725675	642
ABCB8_p150730680	526
ABCB8_p150730705	743
ABCB8_p150730712	170
ABCC1_m16043636	48
ABCC1_m16043645	1095
ABCC1_m16101705	873
ABCC1_m16101777	476
ABCC1_m16101788	453
ABCC1_m16101799	497
ABCC1_p16043597	209
ABCC1_p16101667	218
ABCC1_p16101710	36
ABCC1_p16101721	1007
ABCF1_m30539291	147
ABCF1_p30539251	767
ABCF1_p30539272	756
ABCF1_p30545181	792
ABCF1_p30545587	33
ABCF1_p30545605	341
ABCF1_p30545610	1344
ABCF1_p30545638	145
ABCF1_p30545878	1369
ABCF1_p30545888	180
ABHD14B_m52004073	322
ABHD14B_m52004106	304
ABHD14B_m52004113	394
ABHD14B_m52004122	1220
ABHD14B_p52004005	127
ABHD14B_p52004011	341
ABHD14B_p52004019	28
ABHD14B_p52004061	265
ABHD14B_p52004076	1415
ABHD14B_p52004124	584
ABI1_m27149710	433
ABI1_m27149743	961
ABI1_m27149751	839
ABI1_m27149764	139
ABI1_p27112164	1163
ABI1_p27112174	1010
ABI1_p27112180	310
ABI1_p27149695	158
ABI1_p27149701	475
ABI1_p27149733	84
ABL1_m133729449	408
ABL1_m133729456	779
ABL1_m133729467	670
ABL1_m133729488	423
ABL1_m133729532	953
ABL1_m133729594	531
ABL1_p133729441	429
ABL1_p133729469	633
ABL1_p133729492	752
ABL1_p133729502	527
ABL2_m179100447	970
ABL2_m179100544	442
ABL2_m179100554	718
ABL2_m179100597	423
ABL2_p179095768	364
ABL2_p179100489	1567
ABL2_p179100503	647
ABL2_p179100524	471
ABL2_p179100556	412
ABL2_p179100578	424
ABLIM2_m8108265	1080
ABLIM2_m8108274	372
ABLIM2_m8108279	458
ABLIM2_m8108294	709
ABLIM2_m8108316	198
ABLIM2_m8160405	909
ABLIM2_p8108286	637
ABLIM2_p8108299	639
ABLIM2_p8108320	102
ABLIM2_p8108331	885
ABT1_m26597238	332
ABT1_m26597359	244
ABT1_m26597388	1186
ABT1_p26597221	1087
ABT1_p26597240	81
ABT1_p26597266	671
ABT1_p26597293	356
ABT1_p26597300	1063
ABT1_p26597313	21
ABT1_p26597361	231
ABTB1_m127395233	407
ABTB1_m127395403	576
ABTB1_m127395808	806
ABTB1_m127395813	335
ABTB1_m127395855	381
ABTB1_m127395860	643
ABTB1_p127395220	444
ABTB1_p127395242	573
ABTB1_p127395252	358
ABTB1_p127395834	342
ACAD11_m132378487	372
ACAD11_m132378519	273
ACAD11_m132378564	673
ACAD11_m132378578	358
ACAD11_p132378460	1103
ACAD11_p132378489	510
ACAD11_p132378501	725
ACAD11_p132378525	557
ACAD11_p132378547	35
ACAD11_p132378566	462
ACAD9_m128598565	503
ACAD9_m128598607	91
ACAD9_m128598614	460
ACAD9_m128598631	272
ACAD9_m128598636	388
ACAD9_p128598519	433
ACAD9_p128598525	391
ACAD9_p128598545	564
ACAD9_p128598551	789
ACAD9_p128598592	627
ACAT2_m160183168	448
ACAT2_m160183956	542
ACAT2_m160183968	1236
ACAT2_p160183107	1384
ACAT2_p160183121	1135
ACAT2_p160183133	354
ACAT2_p160183141	846
ACAT2_p160183152	1487
ACAT2_p160183940	15
ACAT2_p160183972	94
ACBD6_m180471277	800
ACBD6_m180471338	764
ACBD6_m180471378	403
ACBD6_p180471251	332
ACBD6_p180471256	73
ACBD6_p180471263	242
ACBD6_p180471279	539
ACBD6_p180471286	492
ACBD6_p180471344	708
ACBD6_p180471350	413
ACD_m67694254	799
ACD_m67694260	809
ACD_m67694316	190
ACD_m67694376	1262
ACD_p67694194	979
ACD_p67694285	414
ACD_p67694333	209
ACD_p67694350	370
ACD_p67694355	512
ACD_p67694362	1082
ACHE_m100491721	732
ACHE_m100491729	331
ACHE_m100491735	1034
ACHE_m100491767	1059
ACHE_m100491773	384
ACHE_m100491779	191
ACHE_m100491816	201
ACHE_p100491631	368
ACHE_p100491656	1787
ACHE_p100491821	588
ACIN1_m23535193	382
ACIN1_m23538698	2330
ACIN1_m23538715	576
ACIN1_m23538803	1655
ACIN1_m23538815	890
ACIN1_p23538701	276
ACIN1_p23538719	436
ACIN1_p23538730	644
ACIN1_p23538735	168
ACIN1_p23538745	387
ACLY_m40069993	863
ACLY_m40070008	223
ACLY_m40070029	90
ACLY_m40070097	337
ACLY_m40070116	687
ACLY_p40069998	597
ACLY_p40070033	1085
ACLY_p40070039	214
ACLY_p40070062	349
ACLY_p40070105	518
ACO2_m41865159	811
ACO2_m41895784	561
ACO2_m41895810	1517
ACO2_m41895824	402
ACO2_m41903807	323
ACO2_p41865164	440
ACO2_p41895716	206
ACO2_p41895844	180
ACO2_p41903797	386
ACO2_p41903813	711
ACP1_m264983	1432
ACP1_m264989	991
ACP1_m272095	348
ACP1_m272137	1177
ACP1_p264954	862
ACP1_p272032	1100
ACP1_p272042	587
ACP1_p272054	439
ACP1_p272099	240
ACP1_p272185	1106
ACRC_m70811980	314
ACRC_m70814198	52
ACRC_p70800656	176
ACRC_p70800697	158
ACRC_p70800703	948
ACRC_p70800708	1630
ACRC_p70811990	337
ACRC_p70814182	464
ACRC_p70814187	654
ACRC_p70814200	1320
ACSL6_m131326625	436
ACSL6_m131326630	702
ACSL6_m131326651	429
ACSL6_m131329874	541
ACSL6_m131329908	688
ACSL6_p131329816	1223
ACSL6_p131329824	699
ACSL6_p131329830	524
ACSL6_p131329859	165
ACSL6_p131329878	618
ACSS2_m33470722	500
ACSS2_m33500924	405
ACSS2_m33500940	1126
ACSS2_m33500955	426
ACSS2_m33501214	463
ACSS2_m33501222	451
ACSS2_p33470688	599
ACSS2_p33500893	64
ACSS2_p33500928	272
ACSS2_p33501184	475
ACTL6A_m179287950	259
ACTL6A_m179287986	450
ACTL6A_p179287878	353
ACTL6A_p179287892	283
ACTL6A_p179287902	513
ACTL6A_p179287911	872
ACTL6A_p179287920	818
ACTL6A_p179287966	1006
ACTL6A_p179287976	216
ACTL6A_p179291144	126
ACTL6B_m100253076	629
ACTL6B_m100253081	396
ACTL6B_m100253086	434
ACTL6B_m100253168	511
ACTL6B_m100253443	758
ACTL6B_m100253971	329
ACTL6B_p100253037	949
ACTL6B_p100253066	669
ACTL6B_p100253094	643
ACTL6B_p100253446	823
ACTL7A_m111624641	1314
ACTL7A_m111624669	377
ACTL7A_m111624684	363
ACTL7A_m111624726	276
ACTL7A_m111624736	594
ACTL7A_p111624607	236
ACTL7A_p111624631	449
ACTL7A_p111624686	232
ACTL7A_p111624691	228
ACTL7A_p111624699	826
ACTN1_m69392359	371
ACTN1_m69392382	466
ACTN1_m69445694	212
ACTN1_m69445700	476
ACTN1_m69445718	739
ACTN1_m69445724	1001
ACTN1_p69392370	1446
ACTN1_p69445679	175
ACTN1_p69445708	122
ACTN1_p69445745	591
ACTN4_m39138399	540
ACTN4_m39138430	111
ACTN4_m39138527	146
ACTN4_p39138381	447
ACTN4_p39138403	570
ACTN4_p39138433	590
ACTN4_p39138459	1072
ACTN4_p39138465	1160
ACTN4_p39138476	306
ACTN4_p39138482	927
ACTR1A_m104248862	719
ACTR1A_m104250350	284
ACTR1A_m104250365	274
ACTR1A_p104248833	547
ACTR1A_p104248866	664
ACTR1A_p104250290	412
ACTR1A_p104250304	445
ACTR1A_p104262351	662
ACTR1A_p104262374	910
ACTR1A_p104262383	844
ACTR3_m114684932	697
ACTR3_m114688941	781
ACTR3_p114674498	896
ACTR3_p114684915	609
ACTR3_p114684941	648
ACTR3_p114684946	524
ACTR3_p114684953	58
ACTR3_p114688931	491
ACTR3_p114691883	369
ACTR3_p114691894	1477
ACTR5_m37377141	589
ACTR5_m37377155	65
ACTR5_m37377161	233
ACTR5_m37377171	298
ACTR5_m37377189	462
ACTR5_p37377163	362
ACTR5_p37377178	258
ACTR5_p37377198	254
ACTR5_p37377204	198
ACTR5_p37377211	695
ACTR8_m53916047	1690
ACTR8_m53916057	675
ACTR8_m53916067	862
ACTR8_m53916073	1021
ACTR8_m53916081	1310
ACTR8_m53916091	239
ACTR8_m53916096	1170
ACTR8_m53916103	615
ACTR8_m53916111	443
ACTR8_m53916121	194
