gRNA	KBM7.final
A1CF_m52595977	175
A1CF_m52596017	1891
A1CF_m52596056	759
A1CF_m52603842	855
A1CF_m52603847	266
A1CF_p52595870	1117
A1CF_p52595881	1585
A1CF_p52596023	774
A1CF_p52601638	2407
A1CF_p52603829	471
AAAS_m53714382	1426
AAAS_m53715169	1690
AAAS_m53715176	664
AAAS_m53715212	742
AAAS_m53715238	77
AAAS_p53714367	469
AAAS_p53714374	968
AAAS_p53714391	940
AAAS_p53714405	2715
AAAS_p53714441	829
AAK1_m69870049	2006
AAK1_m69870056	3515
AAK1_m69870103	629
AAK1_m69870119	837
AAK1_m69870125	2101
AAK1_m69870131	2637
AAK1_m69870137	798
AAK1_p69870063	1139
AAK1_p69870070	1682
AAK1_p69870105	1118
AATF_m35306444	1402
AATF_m35306475	537
AATF_m35306482	311
AATF_m35306509	204
AATF_m35307516	540
AATF_m35307525	291
AATF_p35306410	1101
AATF_p35306466	0
AATF_p35307505	481
AATF_p35307527	3255
AATK_m79102275	1109
AATK_m79102281	2651
AATK_m79102298	2676
AATK_m79102320	3223
AATK_m79102325	2030
AATK_p79102286	1624
AATK_p79102311	281
AATK_p79104850	602
AATK_p79104858	852
AATK_p79104864	2543
ABCB8_m150725643	2951
ABCB8_m150725669	1077
ABCB8_m150730720	433
ABCB8_p150725600	482
ABCB8_p150725605	428
ABCB8_p150725612	685
ABCB8_p150725675	2565
ABCB8_p150730680	1108
ABCB8_p150730705	2105
ABCB8_p150730712	1004
ABCC1_m16043636	817
ABCC1_m16043645	1793
ABCC1_m16101705	1374
ABCC1_m16101777	1117
ABCC1_m16101788	857
ABCC1_m16101799	1023
ABCC1_p16043597	581
ABCC1_p16101667	695
ABCC1_p16101710	392
ABCC1_p16101721	2741
ABCF1_m30539291	871
ABCF1_p30539251	647
ABCF1_p30539272	1612
ABCF1_p30545181	3651
ABCF1_p30545587	435
ABCF1_p30545605	550
ABCF1_p30545610	2254
ABCF1_p30545638	844
ABCF1_p30545878	755
ABCF1_p30545888	335
ABHD14B_m52004073	546
ABHD14B_m52004106	595
ABHD14B_m52004113	905
ABHD14B_m52004122	2275
ABHD14B_p52004005	826
ABHD14B_p52004011	1399
ABHD14B_p52004019	454
ABHD14B_p52004061	324
ABHD14B_p52004076	2836
ABHD14B_p52004124	1988
ABI1_m27149710	574
ABI1_m27149743	1685
ABI1_m27149751	929
ABI1_m27149764	470
ABI1_p27112164	2368
ABI1_p27112174	2458
ABI1_p27112180	667
ABI1_p27149695	324
ABI1_p27149701	1808
ABI1_p27149733	348
ABL1_m133729449	1051
ABL1_m133729456	837
ABL1_m133729467	689
ABL1_m133729488	62
ABL1_m133729532	2456
ABL1_m133729594	137
ABL1_p133729441	491
ABL1_p133729469	2103
ABL1_p133729492	701
ABL1_p133729502	400
ABL2_m179100447	2558
ABL2_m179100544	527
ABL2_m179100554	1761
ABL2_m179100597	1285
ABL2_p179095768	822
ABL2_p179100489	3472
ABL2_p179100503	881
ABL2_p179100524	1935
ABL2_p179100556	813
ABL2_p179100578	886
ABLIM2_m8108265	2314
ABLIM2_m8108274	2717
ABLIM2_m8108279	1004
ABLIM2_m8108294	3905
ABLIM2_m8108316	304
ABLIM2_m8160405	2001
ABLIM2_p8108286	2749
ABLIM2_p8108299	3115
ABLIM2_p8108320	410
ABLIM2_p8108331	1885
ABT1_m26597238	771
ABT1_m26597359	469
ABT1_m26597388	492
ABT1_p26597221	1735
ABT1_p26597240	225
ABT1_p26597266	528
ABT1_p26597293	1045
ABT1_p26597300	385
ABT1_p26597313	323
ABT1_p26597361	360
ABTB1_m127395233	550
ABTB1_m127395403	2182
ABTB1_m127395808	1592
ABTB1_m127395813	1279
ABTB1_m127395855	1327
ABTB1_m127395860	2053
ABTB1_p127395220	518
ABTB1_p127395242	1655
ABTB1_p127395252	1348
ABTB1_p127395834	1442
ACAD11_m132378487	1207
ACAD11_m132378519	639
ACAD11_m132378564	2599
ACAD11_m132378578	810
ACAD11_p132378460	1663
ACAD11_p132378489	1522
ACAD11_p132378501	1513
ACAD11_p132378525	2025
ACAD11_p132378547	250
ACAD11_p132378566	1096
ACAD9_m128598565	3584
ACAD9_m128598607	476
ACAD9_m128598614	923
ACAD9_m128598631	699
ACAD9_m128598636	253
ACAD9_p128598519	393
ACAD9_p128598525	1624
ACAD9_p128598545	706
ACAD9_p128598551	2200
ACAD9_p128598592	821
ACAT2_m160183168	619
ACAT2_m160183956	1422
ACAT2_m160183968	3082
ACAT2_p160183107	3058
ACAT2_p160183121	2633
ACAT2_p160183133	1292
ACAT2_p160183141	2007
ACAT2_p160183152	4954
ACAT2_p160183940	39
ACAT2_p160183972	1177
ACBD6_m180471277	827
ACBD6_m180471338	1002
ACBD6_m180471378	864
ACBD6_p180471251	609
ACBD6_p180471256	1202
ACBD6_p180471263	371
ACBD6_p180471279	808
ACBD6_p180471286	749
ACBD6_p180471344	2977
ACBD6_p180471350	1451
ACD_m67694254	3199
ACD_m67694260	1708
ACD_m67694316	674
ACD_m67694376	2069
ACD_p67694194	2020
ACD_p67694285	1102
ACD_p67694333	449
ACD_p67694350	679
ACD_p67694355	1603
ACD_p67694362	2505
ACHE_m100491721	991
ACHE_m100491729	1276
ACHE_m100491735	2308
ACHE_m100491767	1648
ACHE_m100491773	395
ACHE_m100491779	883
ACHE_m100491816	592
ACHE_p100491631	1230
ACHE_p100491656	4492
ACHE_p100491821	579
ACIN1_m23535193	1012
ACIN1_m23538698	1206
ACIN1_m23538715	727
ACIN1_m23538803	272
ACIN1_m23538815	1743
ACIN1_p23538701	192
ACIN1_p23538719	1105
ACIN1_p23538730	800
ACIN1_p23538735	0
ACIN1_p23538745	473
ACLY_m40069993	1055
ACLY_m40070008	42
ACLY_m40070029	115
ACLY_m40070097	426
ACLY_m40070116	1756
ACLY_p40069998	1039
ACLY_p40070033	223
ACLY_p40070039	629
ACLY_p40070062	221
ACLY_p40070105	1043
ACO2_m41865159	659
ACO2_m41895784	2344
ACO2_m41895810	2170
ACO2_m41895824	1188
ACO2_m41903807	1351
ACO2_p41865164	852
ACO2_p41895716	842
ACO2_p41895844	1008
ACO2_p41903797	175
ACO2_p41903813	1213
ACP1_m264983	3262
ACP1_m264989	2161
ACP1_m272095	1370
ACP1_m272137	1058
ACP1_p264954	2180
ACP1_p272032	2224
ACP1_p272042	1531
ACP1_p272054	784
ACP1_p272099	776
ACP1_p272185	2250
ACRC_m70811980	1554
ACRC_m70814198	624
ACRC_p70800656	980
ACRC_p70800697	817
ACRC_p70800703	931
ACRC_p70800708	4302
ACRC_p70811990	2827
ACRC_p70814182	2331
ACRC_p70814187	1582
ACRC_p70814200	1929
ACSL6_m131326625	1026
ACSL6_m131326630	2201
ACSL6_m131326651	2488
ACSL6_m131329874	1428
ACSL6_m131329908	734
ACSL6_p131329816	1719
ACSL6_p131329824	725
ACSL6_p131329830	706
ACSL6_p131329859	533
ACSL6_p131329878	2013
ACSS2_m33470722	662
ACSS2_m33500924	1551
ACSS2_m33500940	3562
ACSS2_m33500955	1500
ACSS2_m33501214	1776
ACSS2_m33501222	1376
ACSS2_p33470688	1819
ACSS2_p33500893	1621
ACSS2_p33500928	1851
ACSS2_p33501184	608
ACTL6A_m179287950	159
ACTL6A_m179287986	590
ACTL6A_p179287878	417
ACTL6A_p179287892	1878
ACTL6A_p179287902	1159
ACTL6A_p179287911	1268
ACTL6A_p179287920	1654
ACTL6A_p179287966	304
ACTL6A_p179287976	1047
ACTL6A_p179291144	721
ACTL6B_m100253076	1552
ACTL6B_m100253081	916
ACTL6B_m100253086	2074
ACTL6B_m100253168	2164
ACTL6B_m100253443	2516
ACTL6B_m100253971	1120
ACTL6B_p100253037	2309
ACTL6B_p100253066	767
ACTL6B_p100253094	1129
ACTL6B_p100253446	826
ACTL7A_m111624641	3213
ACTL7A_m111624669	842
ACTL7A_m111624684	1151
ACTL7A_m111624726	450
ACTL7A_m111624736	763
ACTL7A_p111624607	1854
ACTL7A_p111624631	568
ACTL7A_p111624686	519
ACTL7A_p111624691	1363
ACTL7A_p111624699	950
ACTN1_m69392359	1037
ACTN1_m69392382	2479
ACTN1_m69445694	193
ACTN1_m69445700	1666
ACTN1_m69445718	1278
ACTN1_m69445724	2097
ACTN1_p69392370	3490
ACTN1_p69445679	334
ACTN1_p69445708	420
ACTN1_p69445745	1105
ACTN4_m39138399	1730
ACTN4_m39138430	620
ACTN4_m39138527	67
ACTN4_p39138381	1450
ACTN4_p39138403	2822
ACTN4_p39138433	1689
ACTN4_p39138459	2800
ACTN4_p39138465	2233
ACTN4_p39138476	1709
ACTN4_p39138482	2890
ACTR1A_m104248862	2147
ACTR1A_m104250350	193
ACTR1A_m104250365	1252
ACTR1A_p104248833	1967
ACTR1A_p104248866	301
ACTR1A_p104250290	1959
ACTR1A_p104250304	2020
ACTR1A_p104262351	4097
ACTR1A_p104262374	1732
ACTR1A_p104262383	627
ACTR3_m114684932	693
ACTR3_m114688941	326
ACTR3_p114674498	1851
ACTR3_p114684915	998
ACTR3_p114684941	2548
ACTR3_p114684946	643
ACTR3_p114684953	1091
ACTR3_p114688931	1553
ACTR3_p114691883	816
ACTR3_p114691894	2034
ACTR5_m37377141	2963
ACTR5_m37377155	363
ACTR5_m37377161	355
ACTR5_m37377171	685
ACTR5_m37377189	1189
ACTR5_p37377163	789
ACTR5_p37377178	888
ACTR5_p37377198	1140
ACTR5_p37377204	543
ACTR5_p37377211	492
ACTR8_m53916047	1592
ACTR8_m53916057	350
ACTR8_m53916067	74
ACTR8_m53916073	2580
ACTR8_m53916081	411
ACTR8_m53916091	1091
ACTR8_m53916096	388
ACTR8_m53916103	1844
ACTR8_m53916111	1874
ACTR8_m53916121	78
ACTRT3_m169487192	310
ACTRT3_m169487204	1253
ACTRT3_m169487242	2552
ACTRT3_m169487247	812
ACTRT3_m169487252	1045
ACTRT3_m169487267	1621
ACTRT3_m169487273	1198
ACTRT3_m169487289	681
ACTRT3_p169487206	1043
ACTRT3_p169487280	1704
ACVR1B_m52369170	2861
ACVR1B_m52369187	1647
ACVR1B_m52369192	748
ACVR1B_m52369211	2786
ACVR1B_m52369226	205
ACVR1B_m52369237	1920
ACVR1B_p52369196	415
ACVR1B_p52369243	783
ACVR1B_p52369255	263
ACVR1B_p52369266	2199
ACVR1C_m158401016	1114
ACVR1C_m158401030	3206
ACVR1C_m158401075	1063
ACVR1C_m158401097	1665
ACVR1C_m158401113	717
ACVR1C_m158443700	2446
ACVR1C_m158443841	1520
ACVR1C_p158443781	1715
ACVR1C_p158443786	2015
ACVR1C_p158443795	2524
ACVR1_m158637033	2204
ACVR1_m158637046	1724
ACVR1_m158637054	680
ACVR1_m158637066	1150
ACVR1_m158655997	3010
ACVR1_p158637019	1331
ACVR1_p158637035	3298
ACVR1_p158637068	2807
ACVR1_p158655928	587
ACVR1_p158655958	569
ACVR2A_m148602752	1126
ACVR2A_m148602767	3155
ACVR2A_m148653941	2145
ACVR2A_m148653961	954
ACVR2A_p148602720	3163
ACVR2A_p148602754	943
ACVR2A_p148653859	1370
ACVR2A_p148653946	2080
ACVR2A_p148653965	583
ACVR2A_p148653997	2845
ACVR2B_m38495825	2677
ACVR2B_m38518828	2134
ACVR2B_m38518849	662
ACVR2B_p38495805	1040
ACVR2B_p38495827	2756
ACVR2B_p38518810	2354
ACVR2B_p38518817	3970
ACVR2B_p38518836	1663
ACVR2B_p38518841	1254
ACVR2B_p38518854	3235
ACVRL1_m52306276	2456
ACVRL1_m52306307	1462
ACVRL1_m52306881	2059
ACVRL1_m52306910	2264
ACVRL1_m52306921	958
ACVRL1_p52306245	2092
ACVRL1_p52306281	2225
ACVRL1_p52306287	3686
ACVRL1_p52306296	1272
ACVRL1_p52306883	2022
ADAD1_m123301295	1011
ADAD1_m123301308	2224
ADAD1_m123301332	1668
ADAD1_m123301345	654
ADAD1_m123301366	1337
ADAD1_p123301314	2170
ADAD1_p123301335	508
ADAD1_p123301349	1162
ADAD1_p123301358	4172
ADAD1_p123301373	1346
ADAM10_m58974490	702
ADAM10_m59009777	1785
ADAM10_m59009866	1216
ADAM10_m59009883	3758
ADAM10_m59041689	309
ADAM10_m59041696	592
ADAM10_p58974401	448
ADAM10_p58974481	2141
ADAM10_p59009761	508
ADAM10_p59009767	912
ADAM12_m128018982	612
ADAM12_m128019019	1670
ADAM12_m128019025	1073
ADAM12_m128076635	1111
ADAM12_m128076658	2731
ADAM12_p128018991	389
ADAM12_p128019039	1058
ADAM12_p128076618	410
ADAM12_p128076641	3211
ADAM12_p128076650	1328
ADAMTS5_m28338537	2252
ADAMTS5_m28338697	1530
ADAMTS5_m28338702	1053
ADAMTS5_p28338524	1039
ADAMTS5_p28338585	1072
ADAMTS5_p28338596	1002
ADAMTS5_p28338607	1206
ADAMTS5_p28338612	479
ADAMTS5_p28338620	822
ADAMTS5_p28338667	3378
ADAP1_m975089	1158
ADAP1_m975116	758
ADAP1_m975132	1445
ADAP1_m994042	1240
ADAP1_m994066	622
ADAP1_m994071	603
ADAP1_m994091	1671
ADAP1_m994101	1951
ADAP1_m994106	872
ADAP1_p975103	2124
ADARB1_m46591572	629
ADARB1_m46595675	697
ADARB1_m46595697	1089
ADARB1_m46595715	1177
ADARB1_m46595721	1598
ADARB1_m46595779	253
ADARB1_p46595645	2617
ADARB1_p46595700	1321
ADARB1_p46595705	4330
ADARB1_p46595724	397
ADARB2_m1779246	2559
ADARB2_m1779251	1434
ADARB2_m1779266	3299
ADARB2_m1779272	1441
ADARB2_m1779308	1709
ADARB2_m1779330	699
ADARB2_m1779337	1305
ADARB2_p1421307	1128
ADARB2_p1421336	1015
ADARB2_p1779233	1138
ADAR_m154574098	1523
ADAR_m154574103	1151
ADAR_m154574108	1748
ADAR_m154574165	1012
ADAR_m154574219	1758
ADAR_p154574043	1435
ADAR_p154574114	35
ADAR_p154574121	0
ADAR_p154574126	594
ADAR_p154574157	1160
ADCK1_m78285328	2962
ADCK1_m78285358	4114
ADCK1_m78285376	2136
ADCK1_m78285413	3331
ADCK1_p78285311	1055
ADCK1_p78285331	3069
ADCK1_p78285341	1709
ADCK1_p78285386	1513
ADCK1_p78285402	2210
ADCK1_p78285416	3612
ADCK2_m140373155	371
ADCK2_m140373168	1295
ADCK2_m140373177	747
ADCK2_m140373210	1644
ADCK2_m140373220	846
ADCK2_m140373231	2104
ADCK2_p140373122	1142
ADCK2_p140373137	44
ADCK2_p140373158	1700
ADCK2_p140373194	1834
ADCK3_m227149096	919
ADCK3_m227149144	405
ADCK3_m227149153	3638
