gRNA	KBM7.initial
A1CF_m52595977	274
A1CF_m52596017	412
A1CF_m52596056	368
A1CF_m52603842	243
A1CF_m52603847	50
A1CF_p52595870	583
A1CF_p52595881	378
A1CF_p52596023	429
A1CF_p52601638	459
A1CF_p52603829	142
AAAS_m53714382	671
AAAS_m53715169	627
AAAS_m53715176	89
AAAS_m53715212	340
AAAS_m53715238	135
AAAS_p53714367	328
AAAS_p53714374	261
AAAS_p53714391	399
AAAS_p53714405	856
AAAS_p53714441	327
AAK1_m69870049	465
AAK1_m69870056	707
AAK1_m69870103	452
AAK1_m69870119	275
AAK1_m69870125	350
AAK1_m69870131	763
AAK1_m69870137	294
AAK1_p69870063	167
AAK1_p69870070	718
AAK1_p69870105	163
AATF_m35306444	456
AATF_m35306475	612
AATF_m35306482	726
AATF_m35306509	322
AATF_m35307516	356
AATF_m35307525	146
AATF_p35306410	1104
AATF_p35306466	245
AATF_p35307505	269
AATF_p35307527	835
AATK_m79102275	435
AATK_m79102281	460
AATK_m79102298	798
AATK_m79102320	655
AATK_m79102325	722
AATK_p79102286	562
AATK_p79102311	184
AATK_p79104850	316
AATK_p79104858	346
AATK_p79104864	640
ABCB8_m150725643	583
ABCB8_m150725669	425
ABCB8_m150730720	150
ABCB8_p150725600	225
ABCB8_p150725605	146
ABCB8_p150725612	107
ABCB8_p150725675	426
ABCB8_p150730680	481
ABCB8_p150730705	522
ABCB8_p150730712	215
ABCC1_m16043636	208
ABCC1_m16043645	551
ABCC1_m16101705	593
ABCC1_m16101777	410
ABCC1_m16101788	296
ABCC1_m16101799	511
ABCC1_p16043597	232
ABCC1_p16101667	140
ABCC1_p16101710	15
ABCC1_p16101721	684
ABCF1_m30539291	163
ABCF1_p30539251	675
ABCF1_p30539272	585
ABCF1_p30545181	678
ABCF1_p30545587	140
ABCF1_p30545605	218
ABCF1_p30545610	1012
ABCF1_p30545638	212
ABCF1_p30545878	1120
ABCF1_p30545888	199
ABHD14B_m52004073	191
ABHD14B_m52004106	222
ABHD14B_m52004113	367
ABHD14B_m52004122	1034
ABHD14B_p52004005	234
ABHD14B_p52004011	358
ABHD14B_p52004019	160
ABHD14B_p52004061	341
ABHD14B_p52004076	1062
ABHD14B_p52004124	546
ABI1_m27149710	671
ABI1_m27149743	396
ABI1_m27149751	489
ABI1_m27149764	187
ABI1_p27112164	932
ABI1_p27112174	740
ABI1_p27112180	214
ABI1_p27149695	43
ABI1_p27149701	439
ABI1_p27149733	265
ABL1_m133729449	211
ABL1_m133729456	555
ABL1_m133729467	449
ABL1_m133729488	367
ABL1_m133729532	825
ABL1_m133729594	283
ABL1_p133729441	235
ABL1_p133729469	614
ABL1_p133729492	660
ABL1_p133729502	298
ABL2_m179100447	578
ABL2_m179100544	151
ABL2_m179100554	407
ABL2_m179100597	431
ABL2_p179095768	325
ABL2_p179100489	840
ABL2_p179100503	560
ABL2_p179100524	266
ABL2_p179100556	283
ABL2_p179100578	321
ABLIM2_m8108265	672
ABLIM2_m8108274	784
ABLIM2_m8108279	338
ABLIM2_m8108294	1285
ABLIM2_m8108316	173
ABLIM2_m8160405	1005
ABLIM2_p8108286	561
ABLIM2_p8108299	836
ABLIM2_p8108320	38
ABLIM2_p8108331	652
ABT1_m26597238	207
ABT1_m26597359	222
ABT1_m26597388	1115
ABT1_p26597221	825
ABT1_p26597240	213
ABT1_p26597266	420
ABT1_p26597293	391
ABT1_p26597300	430
ABT1_p26597313	101
ABT1_p26597361	252
ABTB1_m127395233	308
ABTB1_m127395403	877
ABTB1_m127395808	366
ABTB1_m127395813	199
ABTB1_m127395855	500
ABTB1_m127395860	621
ABTB1_p127395220	627
ABTB1_p127395242	802
ABTB1_p127395252	225
ABTB1_p127395834	485
ACAD11_m132378487	404
ACAD11_m132378519	248
ACAD11_m132378564	870
ACAD11_m132378578	334
ACAD11_p132378460	627
ACAD11_p132378489	745
ACAD11_p132378501	418
ACAD11_p132378525	648
ACAD11_p132378547	262
ACAD11_p132378566	438
ACAD9_m128598565	521
ACAD9_m128598607	121
ACAD9_m128598614	544
ACAD9_m128598631	343
ACAD9_m128598636	297
ACAD9_p128598519	425
ACAD9_p128598525	299
ACAD9_p128598545	619
ACAD9_p128598551	752
ACAD9_p128598592	436
ACAT2_m160183168	147
ACAT2_m160183956	577
ACAT2_m160183968	1603
ACAT2_p160183107	1266
ACAT2_p160183121	1085
ACAT2_p160183133	378
ACAT2_p160183141	475
ACAT2_p160183152	1057
ACAT2_p160183940	0
ACAT2_p160183972	156
ACBD6_m180471277	292
ACBD6_m180471338	459
ACBD6_m180471378	325
ACBD6_p180471251	115
ACBD6_p180471256	161
ACBD6_p180471263	161
ACBD6_p180471279	700
ACBD6_p180471286	567
ACBD6_p180471344	728
ACBD6_p180471350	303
ACD_m67694254	526
ACD_m67694260	931
ACD_m67694316	254
ACD_m67694376	800
ACD_p67694194	589
ACD_p67694285	279
ACD_p67694333	137
ACD_p67694350	138
ACD_p67694355	448
ACD_p67694362	618
ACHE_m100491721	492
ACHE_m100491729	468
ACHE_m100491735	902
ACHE_m100491767	990
ACHE_m100491773	219
ACHE_m100491779	296
ACHE_m100491816	237
ACHE_p100491631	331
ACHE_p100491656	961
ACHE_p100491821	627
ACIN1_m23535193	464
ACIN1_m23538698	2150
ACIN1_m23538715	555
ACIN1_m23538803	1195
ACIN1_m23538815	1231
ACIN1_p23538701	151
ACIN1_p23538719	315
ACIN1_p23538730	265
ACIN1_p23538735	100
ACIN1_p23538745	345
ACLY_m40069993	795
ACLY_m40070008	256
ACLY_m40070029	136
ACLY_m40070097	330
ACLY_m40070116	621
ACLY_p40069998	403
ACLY_p40070033	624
ACLY_p40070039	142
ACLY_p40070062	152
ACLY_p40070105	268
ACO2_m41865159	495
ACO2_m41895784	488
ACO2_m41895810	1009
ACO2_m41895824	188
ACO2_m41903807	634
ACO2_p41865164	175
ACO2_p41895716	196
ACO2_p41895844	296
ACO2_p41903797	375
ACO2_p41903813	275
ACP1_m264983	979
ACP1_m264989	751
ACP1_m272095	377
ACP1_m272137	407
ACP1_p264954	787
ACP1_p272032	804
ACP1_p272042	667
ACP1_p272054	242
ACP1_p272099	183
ACP1_p272185	449
ACRC_m70811980	283
ACRC_m70814198	51
ACRC_p70800656	386
ACRC_p70800697	384
ACRC_p70800703	829
ACRC_p70800708	1375
ACRC_p70811990	341
ACRC_p70814182	463
ACRC_p70814187	618
ACRC_p70814200	726
ACSL6_m131326625	107
ACSL6_m131326630	341
ACSL6_m131326651	390
ACSL6_m131329874	602
ACSL6_m131329908	488
ACSL6_p131329816	605
ACSL6_p131329824	551
ACSL6_p131329830	414
ACSL6_p131329859	127
ACSL6_p131329878	808
ACSS2_m33470722	202
ACSS2_m33500924	333
ACSS2_m33500940	531
ACSS2_m33500955	498
ACSS2_m33501214	421
ACSS2_m33501222	438
ACSS2_p33470688	350
ACSS2_p33500893	252
ACSS2_p33500928	454
ACSS2_p33501184	299
ACTL6A_m179287950	218
ACTL6A_m179287986	202
ACTL6A_p179287878	283
ACTL6A_p179287892	377
ACTL6A_p179287902	498
ACTL6A_p179287911	670
ACTL6A_p179287920	657
ACTL6A_p179287966	410
ACTL6A_p179287976	555
ACTL6A_p179291144	253
ACTL6B_m100253076	628
ACTL6B_m100253081	389
ACTL6B_m100253086	521
ACTL6B_m100253168	529
ACTL6B_m100253443	723
ACTL6B_m100253971	258
ACTL6B_p100253037	460
ACTL6B_p100253066	576
ACTL6B_p100253094	793
ACTL6B_p100253446	466
ACTL7A_m111624641	876
